ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
2060,860889,-4.865679999999999,860889,51,860889,62151,860889,
2129,860937,-4.94256,860937,51,860937,62289,860931,
2208,860961,-4.865679999999999,860961,51,860961,62269,860961,
2042,860969,-4.865679999999999,860969,51,860969,62242,860969,
1977,860971,-4.865679999999999,860971,50,860971,62262,860971,
2010,860977,-4.865679999999999,860977,50,860977,62262,860971,
2163,860999,-4.865679999999999,860999,52,860999,62234,860999,
1974,861029,-4.94256,861029,51,861029,62256,861029,
2161,861065,-4.865679999999999,861065,51,861065,62235,861059,
2100,861067,-4.94256,861067,51,861067,62239,861067,
2196,861085,-4.865679999999999,861085,51,861085,62267,861079,
1980,861111,-4.94256,861111,51,861111,62373,861109,
1972,861115,-4.94256,861115,52,861115,62373,861109,
2157,861119,-4.865679999999999,861119,51,861119,62378,861119,
2212,861121,-4.94256,861121,51,861121,62378,861119,
2133,861125,-4.94256,861125,51,861125,62378,861119,
2062,861127,-5.0194399999999995,861127,51,861127,62375,861127,
1980,861147,-4.865679999999999,861147,51,861147,62444,861142,
1933,861149,-4.94256,861149,51,861149,62484,861149,
1878,861171,-4.865679999999999,861171,51,861171,62532,861169,
2278,861179,-4.94256,861179,51,861179,62525,861179,
2028,861205,-4.94256,861205,51,861205,62562,861206,
1181,861271,-4.865679999999999,861271,51,861271,62650,861271,
1211,861279,-4.865679999999999,861279,51,861279,62646,861279,
1840,861287,-4.94256,861287,51,861287,62645,861281,
1915,861289,-4.94256,861289,51,861289,62659,861289,
2003,861309,-4.94256,861309,51,861309,62675,861309,
1941,861311,-4.94256,861311,51,861311,62663,861311,
1981,861317,-4.94256,861317,51,861317,62663,861311,
2098,861371,-5.0194399999999995,861371,50,861371,62694,861371,
2103,861377,-4.94256,861377,51,861377,62694,861371,
2094,861389,-4.865679999999999,861389,51,861389,62763,861389,
2318,861437,-4.865679999999999,861437,51,861437,62856,861431,
2240,861441,-4.94256,861441,52,861441,62867,861440,
2023,861445,-4.865679999999999,861445,51,861445,62867,861440,
1942,861447,-4.865679999999999,861447,51,861447,62839,861448,
1917,861449,-4.94256,861449,51,861449,62819,861450,
1952,861451,-5.0194399999999995,861451,51,861451,62819,861450,
2180,861469,-4.48128,861469,50,861469,62599,861470,
2248,861477,-4.865679999999999,861477,51,861477,62599,861470,
1876,861529,-4.94256,861529,51,861529,61940,861529,
2033,861587,-4.865679999999999,861587,51,861587,61932,861587,
1976,861595,-4.865679999999999,861595,50,861595,61938,861589,
1993,861597,-4.94256,861597,50,861597,61961,861597,
2024,861599,-4.94256,861599,51,861599,61968,861599,
2129,861619,-4.865679999999999,861619,52,861619,62019,861617,
1985,861647,-4.94256,861647,50,861647,61987,861642,
2065,861687,-4.94256,861687,51,861687,62156,861681,
2036,861731,-4.94256,861731,51,861731,62299,861731,
2121,861737,-4.865679999999999,861737,52,861737,62299,861731,
2182,861739,-4.865679999999999,861739,52,861739,62289,861739,
2219,861741,-4.865679999999999,861741,50,861741,62298,861741,
1965,861751,-4.94256,861751,51,861751,62287,861751,
2118,861759,-4.94256,861759,51,861759,62285,861759,
2213,861781,-4.94256,861781,51,861781,62243,861781,
2192,861801,-4.865679999999999,861801,51,861801,62186,861801,
1993,861849,-4.94256,861849,51,861849,62222,861849,
1965,861871,-4.94256,861871,51,861871,62255,861871,
2145,861877,-4.94256,861877,51,861877,62255,861871,
2161,861891,-4.865679999999999,861891,52,861891,62320,861891,
1885,861949,-4.7888,861949,51,861949,62404,861949,
2190,861961,-4.865679999999999,861961,51,861961,62518,861959,
2027,861965,-4.94256,861965,52,861965,62518,861959,
1960,862011,-4.865679999999999,862011,50,862011,62537,862009,
2100,862015,-4.865679999999999,862015,51,862015,62537,862009,
2201,862019,-4.865679999999999,862019,51,862019,62576,862019,
2166,862021,-4.865679999999999,862021,51,862021,62576,862019,
2025,862025,-4.94256,862025,51,862025,62576,862019,
2776,862041,-4.865679999999999,862041,51,862041,62620,862039,
2827,862045,-4.94256,862045,51,862045,62620,862039,
2796,862047,-4.865679999999999,862047,52,862047,62590,862047,
1823,862091,-5.0194399999999995,862091,51,862091,62596,862092,
1985,862095,-4.865679999999999,862095,50,862095,62596,862092,
2141,862155,-4.94256,862155,51,862155,62739,862152,
2182,862159,-4.94256,862159,51,862159,62766,862159,
2166,862161,-4.94256,862161,50,862161,62762,862162,
2061,862165,-4.865679999999999,862165,51,862165,62762,862162,
2255,862179,-4.865679999999999,862179,51,862179,62813,862179,
2268,862181,-4.94256,862181,51,862181,62824,862182,
2084,862187,-4.865679999999999,862187,51,862187,62804,862187,
2060,862211,-4.94256,862211,51,862211,62859,862211,
2273,862237,-4.94256,862237,51,862237,62867,862231,
2394,862241,-4.865679999999999,862241,52,862241,62863,862241,
2179,862247,-4.94256,862247,51,862247,62863,862241,
2246,862286,-4.865679999999999,862286,52,862286,62215,862280,
2112,862301,-4.94256,862301,51,862301,62018,862300,
1877,862311,-4.865679999999999,862311,51,862311,61967,862310,
2004,862316,-4.94256,862316,51,862316,61967,862310,
2034,862317,-4.865679999999999,862317,51,862317,61977,862318,
1921,862336,-4.865679999999999,862336,51,862336,61885,862330,
1912,862359,-4.865679999999999,862359,51,862359,61893,862360,
1908,862396,-4.865679999999999,862396,51,862396,61928,862390,
1967,862397,-4.94256,862397,51,862397,61931,862398,
2057,862399,-5.0194399999999995,862399,52,862399,61960,862400,
1910,862427,-4.865679999999999,862427,51,862427,62006,862420,
